country_code,region_code,name_slug,name,name_normalized,osm_relation_id,wikidata_id,is_capital,lon,lat
br,ro,alta-floresta-doeste,Alta Floresta d'Oeste,Alta Floresta d'Oeste,325842,Q1761456,,-61.9998239,-11.9355403
br,ro,ariquemes,Ariquemes,Ariquemes,325888,Q1646975,,-63.03326928,-9.908462867
br,ro,cabixi,Cabixi,Cabixi,325882,Q940433,,-60.54431358,-13.49976346
br,ro,cacoal,Cacoal,Cacoal,325872,Q1761637,,-61.44294421,-11.43386503
br,ro,cerejeiras,Cerejeiras,Cerejeiras,325883,Q1803210,,-60.81842616,-13.19503303
br,ro,colorado-do-oeste,Colorado do Oeste,Colorado do Oeste,325860,Q1785819,,-60.55506746,-13.13056384
br,ro,corumbiara,Corumbiara,Corumbiara,325874,Q927349,,-60.94870117,-12.99752024
br,ro,costa-marques,Costa Marques,Costa Marques,325844,Q656758,,-64.23165394,-12.43601388
br,ro,espigao-doeste,Espigão d'Oeste,Espigao d'Oeste,325845,Q616498,,-61.02017311,-11.52855463
br,ro,guajara-mirim,Guajará-Mirim,Guajara-Mirim,325856,Q983810,,-65.32395182,-10.77388374
br,ro,jaru,Jaru,Jaru,325864,Q988755,,-62.47623071,-10.43594877
br,ro,ji-parana,Ji-Paraná,Ji-Parana,325879,Q983815,,-61.94509458,-10.88205132
br,ro,machadinho-doeste,Machadinho d'Oeste,Machadinho d'Oeste,325881,Q1786440,,-61.99959257,-9.42556248
br,ro,nova-brasilandia-doeste,Nova Brasilândia d'Oeste,Nova Brasilandia d'Oeste,325857,Q2014329,,-62.30823016,-11.72132541
br,ro,ouro-preto-do-oeste,Ouro Preto do Oeste,Ouro Preto do Oeste,325854,Q1803223,,-62.26105519,-10.7235739
br,ro,pimenta-bueno,Pimenta Bueno,Pimenta Bueno,325843,Q1803175,,-61.18366567,-11.67753699
br,ro,porto-velho,Porto Velho,Porto Velho,325855,Q172512,TRUE,-63.83144565,-8.76889179
br,ro,presidente-medici,Presidente Médici,Presidente Medici,325892,Q1871362,,-61.90943868,-11.17320502
br,ro,rio-crespo,Rio Crespo,Rio Crespo,325848,Q1786495,,-62.90001037,-9.70553671
br,ro,rolim-de-moura,Rolim de Moura,Rolim de Moura,325876,Q1784242,,-61.78578094,-11.72225891
br,ro,santa-luzia-doeste,Santa Luzia d'Oeste,Santa Luzia d'Oeste,325862,Q1802100,,-61.77330546,-11.90842333
br,ro,vilhena,Vilhena,Vilhena,325887,Q1749958,,-60.13858387,-12.74137347
br,ro,sao-miguel-do-guapore,São Miguel do Guaporé,Sao Miguel do Guapore,325863,Q1807456,,-62.72006348,-11.69948974
br,ro,nova-mamore,Nova Mamoré,Nova Mamore,325849,Q993507,,-65.32914902,-10.41177129
br,ro,alvorada-doeste,Alvorada d'Oeste,Alvorada d'Oeste,325853,Q1786028,,-62.27727487,-11.34413002
br,ro,alto-alegre-dos-parecis,Alto Alegre dos Parecis,Alto Alegre dos Parecis,325858,Q1802050,,-61.85307717,-12.13177722
br,ro,alto-paraiso,Alto Paraíso,Alto Paraiso,325870,Q607036,,-63.31762943,-9.716666738
br,ro,buritis,Buritis,Buritis,325859,Q1921800,,-63.82967879,-10.20980541
br,ro,novo-horizonte-do-oeste,Novo Horizonte do Oeste,Novo Horizonte do Oeste,325865,Q2013150,,-61.99438766,-11.70974292
br,ro,cacaulandia,Cacaulândia,Cacaulandia,325847,Q1750177,,-62.90318993,-10.33887284
br,ro,campo-novo-de-rondonia,Campo Novo de Rondônia,Campo Novo de Rondonia,325871,Q2089179,,-63.62499143,-10.56841647
br,ro,candeias-do-jamari,Candeias do Jamari,Candeias do Jamari,325890,Q2078405,,-63.70002007,-8.785020704
br,ro,castanheiras,Castanheiras,Castanheiras,325891,Q1785860,,-61.9491612,-11.42684223
br,ro,chupinguaia,Chupinguaia,Chupinguaia,325852,Q735454,,-60.90184775,-12.55684076
br,ro,cujubim,Cujubim,Cujubim,325880,Q1803135,,-62.58717453,-9.378193399
br,ro,governador-jorge-teixeira,Governador Jorge Teixeira,Governador Jorge Teixeira,325894,Q964725,,-62.74045764,-10.61207177
br,ro,itapua-do-oeste,Itapuã do Oeste,Itapua do Oeste,325893,Q1802170,,-63.18233702,-9.191871675
br,ro,ministro-andreazza,Ministro Andreazza,Ministro Andreazza,325889,Q775204,,-61.51892193,-11.19623798
br,ro,mirante-da-serra,Mirante da Serra,Mirante da Serra,325875,Q2079711,,-62.6694271,-11.04560929
br,ro,monte-negro,Monte Negro,Monte Negro,325873,Q2014320,,-63.29555917,-10.26309776
br,ro,nova-uniao,Nova União,Nova Uniao,325846,Q2364475,,-62.5550894,-10.91553204
br,ro,parecis,Parecis,Parecis,325850,Q1803114,,-61.59799797,-12.17982705
br,ro,pimenteiras-do-oeste,Pimenteiras do Oeste,Pimenteiras do Oeste,325885,Q1803105,,-61.044379,-13.476562
br,ro,primavera-de-rondonia,Primavera de Rondônia,Primavera de Rondonia,325878,Q1802123,,-61.31654624,-11.82570695
br,ro,sao-felipe-doeste,São Felipe d'Oeste,Sao Felipe d'Oeste,325877,Q1803269,,-61.51250811,-11.91438935
br,ro,sao-francisco-do-guapore,São Francisco do Guaporé,Sao Francisco do Guapore,325851,Q1802095,,-63.57086471,-12.06379841
br,ro,seringueiras,Seringueiras,Seringueiras,325867,Q727950,,-63.038761,-11.76711664
br,ro,teixeiropolis,Teixeirópolis,Teixeiropolis,325861,Q1802088,,-62.25592225,-10.93216929
br,ro,theobroma,Theobroma,Theobroma,325886,Q647208,,-62.34514553,-10.24873055
br,ro,urupa,Urupá,Urupa,325884,Q2089326,,-62.37063245,-11.12854528
br,ro,vale-do-anari,Vale do Anari,Vale do Anari,325868,Q1807445,,-62.17682344,-9.851392708
br,ro,vale-do-paraiso,Vale do Paraíso,Vale do Paraiso,325869,Q2013187,,-62.13439036,-10.43105268
br,ac,acrelandia,Acrelândia,Acrelandia,326273,Q953086,,-67.05231658,-10.07379389
br,ac,assis-brasil,Assis Brasil,Assis Brasil,326269,Q1754403,,-69.56345917,-10.94286568
br,ac,brasileia,Brasiléia,Brasileia,326270,Q899406,,-68.74794343,-11.01641102
br,ac,bujari,Bujari,Bujari,326259,Q1754408,,-67.95185928,-9.820019627
br,ac,capixaba,Capixaba,Capixaba,326268,Q1800737,,-67.67350797,-10.56976771
br,ac,cruzeiro-do-sul,Cruzeiro do Sul,Cruzeiro do Sul,326274,Q941136,,-72.67253132,-7.630690005
br,ac,epitaciolandia,Epitaciolândia,Epitaciolandia,326256,Q1755395,,-68.74486807,-11.02823983
br,ac,feijo,Feijó,Feijo,326258,Q1994833,,-70.35398361,-8.16024753
br,ac,jordao,Jordão,Jordao,326252,Q1800793,,-71.95087512,-9.19335786
br,ac,mancio-lima,Mâncio Lima,Mancio Lima,326262,Q1772621,,-72.91650103,-7.593222594
br,ac,manoel-urbano,Manoel Urbano,Manoel Urbano,326271,Q1772688,,-69.25994458,-8.836317737
br,ac,marechal-thaumaturgo,Marechal Thaumaturgo,Marechal Thaumaturgo,326257,Q1772613,,-72.79026591,-8.953591123
br,ac,placido-de-castro,Plácido de Castro,Placido de Castro,326267,Q964075,,-67.18826009,-10.33513328
br,ac,porto-walter,Porto Walter,Porto Walter,326264,Q1772588,,-72.74233396,-8.266666363
br,ac,rio-branco,Rio Branco,Rio Branco,326253,Q171612,TRUE,-67.8105287,-9.978298753
br,ac,rodrigues-alves,Rodrigues Alves,Rodrigues Alves,326254,Q1800776,,-72.64785491,-7.733602034
br,ac,santa-rosa-do-purus,Santa Rosa do Purus,Santa Rosa do Purus,326272,Q1772719,,-70.48649689,-9.443406537
br,ac,senador-guiomard,Senador Guiomard,Senador Guiomard,326261,Q771763,,-67.74317236,-10.14817359
br,ac,sena-madureira,Sena Madureira,Sena Madureira,326263,Q1754389,,-68.65568406,-9.065339505
br,ac,tarauaca,Tarauacá,Tarauaca,326255,Q979910,,-70.75550106,-8.155668592
br,ac,xapuri,Xapuri,Xapuri,326260,Q1012531,,-68.50629481,-10.65207194
br,ac,porto-acre,Porto Acre,Porto Acre,326265,Q1772602,,-67.54059008,-9.600858231
br,am,alvaraes,Alvarães,Alvaraes,332499,Q1808573,,-64.81353468,-3.216583769
br,am,amatura,Amaturá,Amatura,332512,Q1772609,,-68.20961464,-3.366805188
br,am,anama,Anamã,Anama,332497,Q974915,,-61.40590348,-3.576370427
br,am,anori,Anori,Anori,332474,Q931090,,-61.65895538,-3.745385586
br,am,apui,Apuí,Apui,332502,Q1112525,,-59.8856661,-7.197870152
br,am,atalaia-do-norte,Atalaia do Norte,Atalaia do Norte,332473,Q1793319,,-70.18798928,-4.36615749
br,am,autazes,Autazes,Autazes,332503,Q1772695,,-59.13356709,-3.578663642
br,am,barcelos,Barcelos,Barcelos,332478,Q807939,,-62.92566966,-0.9728010525
br,am,barreirinha,Barreirinha,Barreirinha,332522,Q1772565,,-57.06775049,-2.798149837
br,am,benjamin-constant,Benjamin Constant,Benjamin Constant,332518,Q1767926,,-70.02734843,-4.374989019
br,am,beruri,Beruri,Beruri,332513,Q584172,,-61.37157089,-3.89451341
br,am,boa-vista-do-ramos,Boa Vista do Ramos,Boa Vista do Ramos,332464,Q940548,,-57.58770735,-2.971726532
br,am,boca-do-acre,Boca do Acre,Boca do Acre,332492,Q1793334,,-67.39957776,-8.751243196
br,am,borba,Borba,Borba,332495,Q2089660,,-59.59455902,-4.390619892
br,am,caapiranga,Caapiranga,Caapiranga,332501,Q945469,,-61.21133413,-3.330093392
br,am,canutama,Canutama,Canutama,332480,Q1807050,,-64.39423082,-6.529106076
br,am,carauari,Carauari,Carauari,332496,Q1794236,,-66.89663528,-4.881665904
br,am,careiro,Careiro,Careiro,332515,Q1751325,,-60.36380984,-3.82244727
br,am,careiro-da-varzea,Careiro da Várzea,Careiro da Varzea,332462,Q1807045,,-59.82631406,-3.197396595
br,am,coari,Coari,Coari,332521,Q645204,,-63.14218398,-4.084219159
br,am,codajas,Codajás,Codajas,332491,Q1762074,,-62.06342966,-3.843045933
br,am,eirunepe,Eirunepé,Eirunepe,332511,Q1646910,,-69.86629026,-6.667352567
br,am,envira,Envira,Envira,332488,Q1750090,,-70.03041254,-7.439817544
br,am,fonte-boa,Fonte Boa,Fonte Boa,332510,Q1793768,,-66.09650299,-2.512270685
br,am,guajara,Guajará,Guajara,332508,Q1808440,,-72.58243054,-7.547774415
br,am,humaita,Humaitá,Humaita,332523,Q1025760,,-63.02669802,-7.512224951
br,am,ipixuna,Ipixuna,Ipixuna,332520,Q1794374,,-71.69441806,-7.050980114
br,am,iranduba,Iranduba,Iranduba,332514,Q1761947,,-60.19338817,-3.281053878
br,am,itacoatiara,Itacoatiara,Itacoatiara,332524,Q1750426,,-58.44017544,-3.140378804
br,am,itamarati,Itamarati,Itamarati,332519,Q1102558,,-68.24791744,-6.437799349
br,am,itapiranga,Itapiranga,Itapiranga,332516,Q1808448,,-58.03454588,-2.741842752
br,am,japura,Japurá,Japura,332494,Q1757955,,-66.99690349,-1.880844859
br,am,jurua,Juruá,Jurua,332490,Q1008285,,-66.06304193,-3.474889599
br,am,jutai,Jutaí,Jutai,332506,Q684641,,-66.77132755,-2.744646447
br,am,labrea,Lábrea,Labrea,332504,Q386631,,-64.79477303,-7.261946553
br,am,manacapuru,Manacapuru,Manacapuru,332469,Q983526,,-60.62058945,-3.298278036
br,am,manaquiri,Manaquiri,Manaquiri,332467,Q1807976,,-60.45888131,-3.429079669
br,am,manaus,Manaus,Manaus,332493,Q40236,TRUE,-60.02333518,-3.134691491
br,am,manicore,Manicoré,Manicore,332463,Q43490,,-61.29924841,-5.813205261
br,am,maraa,Maraã,Maraa,332479,Q1763270,,-65.5742837,-1.866436877
br,am,maues,Maués,Maues,332475,Q1808581,,-57.71503439,-3.386427926
br,am,nhamunda,Nhamundá,Nhamunda,332482,Q1793306,,-56.71676991,-2.188983767
br,am,nova-olinda-do-norte,Nova Olinda do Norte,Nova Olinda do Norte,332481,Q1772535,,-59.09307403,-3.887592832
br,am,novo-airao,Novo Airão,Novo Airao,332468,Q1750332,,-60.94881071,-2.623432459
br,am,novo-aripuana,Novo Aripuanã,Novo Aripuana,332465,Q1793549,,-60.37704567,-5.122669314
br,am,parintins,Parintins,Parintins,332517,Q926713,,-56.73629215,-2.627052586
br,am,pauini,Pauini,Pauini,332509,Q1793494,,-67.00209749,-7.714043644
br,am,presidente-figueiredo,Presidente Figueiredo,Presidente Figueiredo,332498,Q655097,,-60.02564683,-2.058429085
br,am,rio-preto-da-eva,Rio Preto da Eva,Rio Preto da Eva,332500,Q1793560,,-59.70473809,-2.693301542
br,am,santa-isabel-do-rio-negro,Santa Isabel do Rio Negro,Santa Isabel do Rio Negro,332484,Q1754543,,-65.02002264,-0.4166948319
br,am,santo-antonio-do-ica,Santo Antônio do Içá,Santo Antonio do Ica,332505,Q970224,,-67.94648514,-3.107486309
br,am,sao-gabriel-da-cachoeira,São Gabriel da Cachoeira,Sao Gabriel da Cachoeira,332477,Q694840,,-67.0836429,-0.1364627881
br,am,sao-paulo-de-olivenca,São Paulo de Olivença,Sao Paulo de Olivenca,332507,Q1794983,,-68.94485349,-3.466509624
br,am,sao-sebastiao-do-uatuma,São Sebastião do Uatumã,Sao Sebastiao do Uatuma,332483,Q1793440,,-57.87034636,-2.57015258
br,am,silves,Silves,Silves,332471,Q2089673,,-58.21480086,-2.83642743
br,am,tabatinga,Tabatinga,Tabatinga,332466,Q22060342,,-69.94624438,-4.231883676
br,am,tapaua,Tapauá,Tapaua,332485,Q1794336,,-63.18709487,-5.624223518
br,am,tefe,Tefé,Tefe,332487,Q975545,,-64.70841966,-3.348372494
br,am,tonantins,Tonantins,Tonantins,332486,Q1793355,,-67.77648228,-2.86109125
br,am,uarini,Uarini,Uarini,332489,Q517607,,-65.15534564,-2.983609243
br,am,urucara,Urucará,Urucara,332470,Q1816370,,-57.75982817,-2.536611672
br,am,urucurituba,Urucurituba,Urucurituba,332472,Q1793833,,-58.15964104,-3.134633116
br,rr,amajari,Amajari,Amajari,326296,Q1646965,,-61.42059017,3.652118445
br,rr,alto-alegre,Alto Alegre,Alto Alegre,326291,Q1763240,,-61.31402239,2.993822948
br,rr,boa-vista,Boa Vista,Boa Vista,326286,Q181056,TRUE,-60.67053267,2.816681919
br,rr,bonfim,Bonfim,Bonfim,326289,Q1763254,,-59.87800663,3.350288619
br,rr,canta,Cantá,Canta,326284,Q1646914,,-60.60206285,2.607666398
br,rr,caracarai,Caracaraí,Caracarai,326293,Q772563,,-61.14917687,1.803871247
br,rr,caroebe,Caroebe,Caroebe,326290,Q748315,,-59.69481007,0.8726745072
br,rr,iracema,Iracema,Iracema,326294,Q1786374,,-61.05225859,2.168214765
br,rr,mucajai,Mucajaí,Mucajai,326297,Q1637423,,-60.91151853,2.479772235
br,rr,normandia,Normandia,Normandia,326282,Q1750038,,-59.63520628,3.882978285
br,rr,pacaraima,Pacaraima,Pacaraima,326283,Q1647045,,-61.14730635,4.47525934
br,rr,rorainopolis,Rorainópolis,Rorainopolis,326292,Q1646932,,-60.42506049,0.9371953936
br,rr,sao-joao-da-baliza,São João da Baliza,Sao Joao da Baliza,326285,Q1646960,,-59.90604435,0.9471574275
br,rr,sao-luiz,São Luiz,Sao Luiz,326295,Q1751337,,-60.02826677,1.018111627
br,rr,uiramuta,Uiramutã,Uiramuta,326288,Q1637434,,-60.19571615,4.585440388
br,pa,abaetetuba,Abaetetuba,Abaetetuba,185660,Q1615298,,-48.88440382,-1.723469863
br,pa,abel-figueiredo,Abel Figueiredo,Abel Figueiredo,185560,Q942803,,-48.39676213,-4.951390896
br,pa,acara,Acará,Acara,185641,Q1804839,,-48.20045643,-1.9634365
br,pa,afua,Afuá,Afua,185616,Q389536,,-50.39142759,-0.1591716938
br,pa,agua-azul-do-norte,Água Azul do Norte,Agua Azul do Norte,185622,Q1804899,,-50.48527451,-6.804948867
br,pa,alenquer,Alenquer,Alenquer,185674,Q2289869,,-54.74086235,-1.951397505
br,pa,almeirim,Almeirim,Almeirim,185668,Q22067014,,-52.57683509,-1.527338803
br,pa,altamira,Altamira,Altamira,185554,Q434285,,-52.21437631,-3.20565951
br,pa,anajas,Anajás,Anajas,185578,Q1804346,,-49.94500104,-0.984451394
br,pa,ananindeua,Ananindeua,Ananindeua,185610,Q485887,,-48.37206665,-1.368713568
br,pa,anapu,Anapu,Anapu,185572,Q486142,,-51.2016218,-3.476104635
br,pa,augusto-correa,Augusto Corrêa,Augusto Correa,90129,Q1804338,,-46.64164579,-1.02292101
br,pa,aurora-do-para,Aurora do Pará,Aurora do Para,185553,Q2008798,,-47.5561746,-2.129376013
br,pa,aveiro,Aveiro,Aveiro,185570,Q790342,,-55.33073439,-3.605595259
br,pa,bagre,Bagre,Bagre,185636,Q1804902,,-50.22198692,-1.88980806
br,pa,baiao,Baião,Baiao,185671,Q804068,,-49.67275337,-2.791961861
br,pa,bannach,Bannach,Bannach,185658,Q1804877,,-50.40604712,-7.351072192
br,pa,barcarena,Barcarena,Barcarena,185661,Q2009595,,-48.62707289,-1.505767005
br,pa,belem,Belém,Belem,185567,Q12829733,TRUE,-48.48782569,-1.459845
br,pa,belterra,Belterra,Belterra,185582,Q609824,,-54.94267474,-2.64902017
br,pa,benevides,Benevides,Benevides,185571,Q1804361,,-48.24183645,-1.361437515
br,pa,bom-jesus-do-tocantins,Bom Jesus do Tocantins,Bom Jesus do Tocantins,185590,Q2130429,,-48.59903996,-5.047362704
br,pa,bonito,Bonito,Bonito,90139,Q2078868,,-47.30589182,-1.367474357
br,pa,braganca,Bragança,Braganca,90128,Q320487,,-46.76575421,-1.053523956
br,pa,brasil-novo,Brasil Novo,Brasil Novo,185604,Q2008779,,-52.54344119,-3.297803704
br,pa,brejo-grande-do-araguaia,Brejo Grande do Araguaia,Brejo Grande do Araguaia,185595,Q1975881,,-48.40576042,-5.707296154
br,pa,breu-branco,Breu Branco,Breu Branco,185672,Q2008139,,-49.56987968,-3.778135413
br,pa,breves,Breves,Breves,185663,Q1804770,,-50.4808948,-1.6907365
br,pa,bujaru,Bujaru,Bujaru,185609,Q2009108,,-48.03587501,-1.513991462
br,pa,cachoeira-do-piria,Cachoeira do Piriá,Cachoeira do Piria,185645,Q947745,,-46.54739142,-1.752897005
br,pa,cachoeira-do-arari,Cachoeira do Arari,Cachoeira do Arari,185614,Q1804813,,-48.96066758,-1.008786266
br,pa,cameta,Cametá,Cameta,185644,Q1805206,,-49.49783017,-2.24683848
br,pa,canaa-dos-carajas,Canaã dos Carajás,Canaa dos Carajas,185626,Q2009474,,-49.84895843,-6.532196616
br,pa,capanema,Capanema,Capanema,90136,Q1947031,,-47.17512612,-1.192441995
br,pa,capitao-poco,Capitão Poço,Capitao Poco,2702845,Q955914,,-47.06282538,-1.746187293
br,pa,castanhal,Castanhal,Castanhal,185664,Q984581,,-47.92664314,-1.295756805
br,pa,chaves,Chaves,Chaves,185548,Q1899080,,-49.98931861,-0.1624372901
br,pa,colares,Colares,Colares,185598,Q2008619,,-48.28872843,-0.932091244
br,pa,conceicao-do-araguaia,Conceição do Araguaia,Conceicao do Araguaia,185643,Q1788037,,-49.26450081,-8.26486353
br,pa,concordia-do-para,Concórdia do Pará,Concordia do Para,185673,Q2008125,,-47.94988694,-1.984521463
br,pa,cumaru-do-norte,Cumaru do Norte,Cumaru do Norte,185615,Q2008271,,-50.77157838,-7.811106537
br,pa,curionopolis,Curionópolis,Curionopolis,185662,Q2008449,,-49.60221423,-6.096819952
br,pa,curralinho,Curralinho,Curralinho,185634,Q2011907,,-49.79152285,-1.80942342
br,pa,curua,Curuá,Curua,185607,Q2008226,,-55.11967861,-1.889928704
br,pa,curuca,Curuçá,Curuca,185576,Q1814514,,-47.85126509,-0.73249551
br,pa,dom-eliseu,Dom Eliseu,Dom Eliseu,185640,Q2008541,,-47.55591489,-4.29077772
br,pa,eldorado-do-carajas,Eldorado do Carajás,Eldorado do Carajas,185565,Q2008261,,-49.37395194,-6.103525161
br,pa,faro,Faro,Faro,185656,Q2246005,,-56.74575302,-2.172975242
br,pa,floresta-do-araguaia,Floresta do Araguaia,Floresta do Araguaia,185558,Q2008493,,-49.69757841,-7.558700872
br,pa,garrafao-do-norte,Garrafão do Norte,Garrafao do Norte,185602,Q2008750,,-47.04504602,-1.931697043
br,pa,goianesia-do-para,Goianésia do Pará,Goianesia do Para,185650,Q2008317,,-49.10104492,-3.842468
br,pa,gurupa,Gurupá,Gurupa,185621,Q2011913,,-51.64369572,-1.404918
br,pa,igarape-grande,Igarapé-Açu,Igarape-Acu,185585,Q2009058,,-47.62237549,-1.124322
br,pa,igarape-miri,Igarapé-Miri,Igarape-Miri,185630,Q651613,,-48.96229947,-1.983116
br,pa,inhangapi,Inhangapi,Inhangapi,185666,Q1880531,,-47.91339275,-1.426581981
br,pa,ipixuna-do-para,Ipixuna do Pará,Ipixuna do Para,185574,Q675175,,-47.49971759,-2.5575285
br,pa,irituia,Irituia,Irituia,185563,Q2008410,,-47.44075561,-1.771474995
br,pa,itaituba,Itaituba,Itaituba,185625,Q655734,,-55.99004886,-4.26372948
br,pa,itupiranga,Itupiranga,Itupiranga,185601,Q2008167,,-49.32442586,-5.128837026
br,pa,jacareacanga,Jacareacanga,Jacareacanga,185577,Q1805252,,-57.76633986,-6.223551731
br,pa,jacunda,Jacundá,Jacunda,185620,Q1967407,,-49.11278156,-4.448405475
br,pa,juruti,Juruti,Juruti,185618,Q1008242,,-56.09499769,-2.155252995
br,pa,limoeiro-do-ajuru,Limoeiro do Ajuru,Limoeiro do Ajuru,185657,Q2008564,,-49.3815339,-1.8919485
br,pa,mae-do-rio,Mãe do Rio,Mae do Rio,185589,Q2008401,,-47.55229018,-2.047707441
br,pa,magalhaes-barata,Magalhães Barata,Magalhaes Barata,185592,Q2008546,,-47.5991819,-0.795850156
br,pa,maraba,Marabá,Maraba,185659,Q509818,,-49.14202533,-5.352605763
br,pa,maracana,Maracanã,Maracana,185588,Q2089279,,-47.45526796,-0.76241946
br,pa,marapanim,Marapanim,Marapanim,185649,Q1990477,,-47.70254875,-0.7121509963
br,pa,marituba,Marituba,Marituba,185631,Q1805166,,-48.34053588,-1.346417266
br,pa,medicilandia,Medicilândia,Medicilandia,185581,Q2009048,,-52.88834535,-3.445417412
br,pa,melgaco,Melgaço,Melgaco,185584,Q2011923,,-50.7174647,-1.803446699
br,pa,mocajuba,Mocajuba,Mocajuba,185623,Q2008596,,-49.50902346,-2.582872973
br,pa,moju,Moju,Moju,185561,Q2008213,,-48.76719913,-1.885889
br,pa,mojui-dos-campos,Mojuí dos Campos,Mojui dos Campos,3049385,Q22074332,,-54.64326888,-2.68245777
br,pa,monte-alegre,Monte Alegre,Monte Alegre,185593,Q2289897,,-54.07337473,-2.003328
br,pa,muana,Muaná,Muana,185606,Q1804369,,-49.21683244,-1.530026208
br,pa,nova-esperanca-do-piria,Nova Esperança do Piriá,Nova Esperanca do Piria,185573,Q1121422,,-46.96209288,-2.267625989
br,pa,nova-ipixuna,Nova Ipixuna,Nova Ipixuna,185679,Q728098,,-49.07988694,-4.923086307
br,pa,nova-timboteua,Nova Timboteua,Nova Timboteua,2702846,Q2009430,,-47.39320228,-1.204143648
br,pa,novo-progresso,Novo Progresso,Novo Progresso,185651,Q1787759,,-55.41987012,-7.034835913
br,pa,novo-repartimento,Novo Repartimento,Novo Repartimento,185647,Q769811,,-49.94863824,-4.2481485
br,pa,obidos,Óbidos,Obidos,185569,Q577167,,-55.51632351,-1.909235496
br,pa,oeiras-do-para,Oeiras do Pará,Oeiras do Para,185638,Q2008580,,-49.85510611,-2.004734
br,pa,oriximina,Oriximiná,Oriximina,185652,Q2011919,,-55.86279952,-1.7637535
br,pa,ourem,Ourém,Ourem,90140,Q1829502,,-47.11761936,-1.548947142
br,pa,ourilandia-do-norte,Ourilândia do Norte,Ourilandia do Norte,185605,Q2008237,,-51.09083277,-6.740617086
br,pa,pacaja,Pacajá,Pacaja,185552,Q592117,,-50.63484083,-3.830305704
br,pa,palestina-do-para,Palestina do Pará,Palestina do Para,185566,Q2009230,,-48.32179373,-5.749934106
br,pa,paragominas,Paragominas,Paragominas,185667,Q935005,,-47.35696156,-2.9941905
br,pa,parauapebas,Parauapebas,Parauapebas,185575,Q1806100,,-49.90078063,-6.072729888
br,pa,pau-darco,Pau d'Arco,Pau d'Arco,185608,Q2008624,,-50.04827553,-7.836794404
br,pa,peixe-boi,Peixe-Boi,Peixe-Boi,90135,Q2009222,,-47.31792702,-1.189569241
br,pa,picarra,Piçarra,Picarra,185629,Q2008277,,-48.86840067,-6.453676235
br,pa,placas,Placas,Placas,185676,Q602405,,-54.21696813,-3.867315562
br,pa,ponta-de-pedras,Ponta de Pedras,Ponta de Pedras,185678,Q1804377,,-48.87178556,-1.396599998
br,pa,portel,Portel,Portel,185632,Q2089210,,-50.82249044,-1.936451
br,pa,porto-de-moz,Porto de Moz,Porto de Moz,185654,Q2011894,,-52.24247692,-1.746090089
br,pa,prainha,Prainha,Prainha,185568,Q2009663,,-53.48181394,-1.8056945
br,pa,primavera,Primavera,Primavera,90134,Q2329733,,-47.11725126,-0.9401115159
br,pa,quatipuru,Quatipuru,Quatipuru,90132,Q2008521,,-47.00678699,-0.9001158537
br,pa,redencao,Redenção,Redencao,185557,Q2381693,,-50.02964183,-8.0276045
br,pa,rio-maria,Rio Maria,Rio Maria,185549,Q2008301,,-50.04641088,-7.311115245
br,pa,rondon-do-para,Rondon do Pará,Rondon do Para,185603,Q2008429,,-48.06997375,-4.777821727
br,pa,ruropolis,Rurópolis,Ruropolis,185564,Q2009519,,-54.90586226,-4.09906539
br,pa,salinopolis,Salinópolis,Salinopolis,185586,Q1008198,,-47.35312026,-0.623638
br,pa,salvaterra,Salvaterra,Salvaterra,185583,Q1921992,,-48.5131866,-0.7545259744
br,pa,santa-barbara-do-para,Santa Bárbara do Pará,Santa Barbara do Para,185551,Q2009202,,-48.29774065,-1.229439467
br,pa,santa-cruz-do-arari,Santa Cruz do Arari,Santa Cruz do Arari,185599,Q640618,,-49.17161557,-0.6599741256
br,pa,santa-izabel-do-para,Santa Izabel do Pará,Santa Izabel do Para,185646,Q2008554,,-48.16305994,-1.297395901
br,pa,santa-luzia-do-para,Santa Luzia do Pará,Santa Luzia do Para,185628,Q2008573,,-46.9061692,-1.518827891
br,pa,santa-maria-das-barreiras,Santa Maria das Barreiras,Santa Maria das Barreiras,185600,Q2009212,,-49.71935186,-8.87055054
br,pa,santa-maria-do-para,Santa Maria do Pará,Santa Maria do Para,185580,Q1901157,,-47.57469541,-1.347866459
br,pa,santana-do-araguaia,Santana do Araguaia,Santana do Araguaia,185665,Q2008589,,-50.34480432,-9.329424525
br,pa,santarem,Santarém,Santarem,185639,Q659450,,-54.71857017,-2.43621333
br,pa,santarem-novo,Santarém Novo,Santarem Novo,185635,Q1811192,,-47.40092474,-0.9287195358
br,pa,santo-antonio-do-taua,Santo Antônio do Tauá,Santo Antonio do Taua,185677,Q2009548,,-48.13243307,-1.1516925
br,pa,sao-caetano-de-odivelas,São Caetano de Odivelas,Sao Caetano de Odivelas,185613,Q632789,,-48.0258055,-0.74661776
br,pa,sao-domingos-do-araguaia,São Domingos do Araguaia,Sao Domingos do Araguaia,185559,Q1841455,,-48.72037341,-5.549841
br,pa,sao-domingos-do-capim,São Domingos do Capim,Sao Domingos do Capim,185624,Q955985,,-47.77478457,-1.6758145
br,pa,sao-felix-do-xingu,São Félix do Xingu,Sao Felix do Xingu,185669,Q1807317,,-51.99378252,-6.642483278
br,pa,sao-francisco-do-para,São Francisco do Pará,Sao Francisco do Para,185642,Q2008769,,-47.79051461,-1.170188785
